time_boscia,seed,n0,m0,M,solution_boscia,termination_boscia,lb_boscia,rel_gap_boscia,termination_afw,time_afw,rel_gap_afw,termination_no_ws,time_no_ws,rel_gap_no_ws,termination_no_as,time_no_as,rel_gap_no_as,termination_no_ss,time_no_ss,rel_gap_no_ss,termination_loc_ti,time_loc_ti,rel_gap_loc_ti,termination_gl_ti,time_gl_ti,rel_gap_gl_ti,termination_no_ti,time_no_ti,rel_gap_no_ti,termination_scip,solution_scip,time_scip,optimal_scip,optimal_boscia,rel_gap_scip
21.918,5,7,70,20.0,3.1735550613410988,1,3.173533882274318,6.673653903328548e-6,1,10.137,2.908443204452008e-6,1,25.356,0.00700340199733577,1,16.433,0.0010802039605426162,1,24.368,6.673653903328548e-6,1,21.931,6.673653903328548e-6,1,22.03,6.673653903328548e-6,1,22.219,6.673653903328548e-6,1,3.1735555245295375,0.066217,1,1,0.0
58.783,6,7,70,20.0,2.4845738168464586,1,2.4845487368781827,1.009437565207742e-5,1,24.745,4.7555625409128675e-5,1,46.663,0.02103627279050662,1,39.236,1.009437565207742e-5,1,52.53,1.009437565207742e-5,1,52.379,1.009437565207742e-5,1,59.561,1.009437565207742e-5,1,60.337,1.009437565207742e-5,1,2.4845740740092013,0.048402,1,1,0.0
19.992,7,7,70,20.0,2.3499406351571013,1,2.3149958812749425,0.015094952939144578,1,10.159,0.09198835070735834,1,36.324,0.048024316088706255,1,31.49,0.0,1,22.163,0.022365042695750407,1,18.077,0.015094952939144578,1,20.159,0.015094952939144578,1,20.162,0.015094952939144578,1,2.34882574974314,0.060363,1,1,0.015
11.329,8,7,70,20.0,6.591447140848486,1,6.537275457265242,0.008286584210405328,1,11.268,0.008908195421552413,1,5.252,0.009481886507147893,1,6.471,0.009482047390088434,1,6.125,0.008727140260755306,1,10.332,0.008286584210405328,1,11.424,0.008286584210405328,1,11.441,0.008286584210405328,1,6.554334928755631,0.072882,1,1,0.003
18.441,9,7,70,20.0,-0.046142894128506584,1,-0.04616588189906301,0.0004981865786832975,1,15.854,0.00023856647373602367,1,12.886,0.0004981865786832975,1,20.275,0.0004981865786832975,1,14.295,0.0004981865786832975,1,16.702,0.0004981865786832975,1,18.589,0.0004981865786832975,1,18.627,0.0004981865786832975,1,-0.0461425337818947,0.063132,1,1,0.001
20.523,10,7,70,20.0,5.219753132142849,1,5.173258853203354,0.00898742557811613,1,29.349,0.008375436349398172,1,28.133,0.009099747091341225,1,40.428,0.007112367055388428,1,14.868,0.007900297308891182,1,18.557,0.00898742557811613,1,20.621,0.00898742557811613,1,20.729,0.00898742557811613,1,5.219753375847091,0.094952,1,1,0.009
36.496,1,8,80,20.0,5.842870044921049,1,5.797740126386254,0.007784053364069059,1,26.626,0.008448394341361529,1,29.618,0.009167200797193202,1,21.999,0.007528847078309234,1,28.509,0.0010047669813533504,1,34.925,0.007784053364069059,1,36.44,0.007784053364069059,1,36.414,0.007784053364069059,1,5.842870299124243,0.09168699999999999,1,1,0.008
36.612,2,8,80,20.0,4.641737529427913,1,4.608314561985756,0.007252753038576243,1,49.59,0.005783603105752972,1,56.516,0.006024287034092514,1,67.881,0.013781638075106328,1,59.716,0.0072651864049780215,1,36.759,0.007252753038576243,1,38.282,0.007252753038576243,1,38.389,0.007252753038576243,1,4.641723129138664,0.07395499999999999,1,1,0.007
48.234,3,8,80,20.0,1.4896722350971623,1,1.488934851950177,0.000495242049052333,1,35.772,0.005173329605898113,1,31.992,0.0002330655849517033,1,50.661,0.001365862586925023,1,46.508,0.00879535029502501,1,51.02,0.000495242049052333,1,52.909,0.000495242049052333,1,52.568,0.000495242049052333,1,1.489672514820188,0.082384,1,1,0.0
26.624,4,8,80,20.0,3.1520256573765897,1,3.15201564630073,3.1760869815476954e-6,1,26.865,3.866156493127548e-6,1,36.018,0.0006102000126614408,1,32.427,3.1760869815476954e-6,1,23.756,0.00033890823482171195,1,29.321,3.1760869815476954e-6,1,28.408,3.1760869815476954e-6,1,28.703,3.1760869815476954e-6,1,3.152025917081553,0.07381299999999999,1,1,0.0
51.778,5,8,80,20.0,4.089808544663824,1,4.027402869998988,0.015495264983225213,1,21.08,3.378101643337204e-6,1,47.425,0.027763711022897854,1,76.969,0.007844880131645679,1,41.63,0.020880230363109167,1,54.16,0.015495264983225213,1,56.568,0.015495264983225213,1,56.718,0.015495264983225213,1,4.0898090097090005,0.080389,1,1,0.015
25.689,6,8,80,20.0,4.059187549577556,1,4.0063803880258115,0.013180765787884996,1,26.255,0.005680767792394598,1,36.987,0.009586561853617758,1,43.17,0.008908719408699037,1,33.119,0.005489709576836234,1,26.586,0.013180765787884996,1,27.723,0.013180765787884996,1,28.259,0.013180765787884996,1,4.056507018038993,0.075061,1,1,0.013
41.408,7,8,80,20.0,2.3452666377944777,1,2.34399541761477,0.0005423304884279187,1,35.984,0.0022393778466937397,1,48.221,0.044202966730209715,1,41.882,0.011471706057913037,1,29.585,0.024739357527376653,1,42.464,0.0005423304884279187,1,39.401,0.0005423304884279187,1,40.471,0.0005423304884279187,1,2.3452670130089497,0.099953,1,1,0.001
13.875,8,8,80,20.0,7.612485700547046,1,7.55855177748871,0.0071354837072049,1,14.652,0.009223008503278552,1,8.357,0.009639759261435869,1,8.376,0.009639759261435869,1,18.084,0.008973933456750205,1,13.279,0.0071354837072049,1,13.228,0.0071354837072049,1,13.173,0.0071354837072049,1,7.598197914706133,0.093882,1,1,0.005
39.162,9,8,80,20.0,-0.7137026926227491,1,-0.7473946510733183,0.047207273839413894,1,54.867,0.04409250161894406,1,44.723,0.03145845123888868,1,25.402,0.23513542252744646,1,54.46,0.033810147897359775,1,37.081,0.047207273839413894,1,36.977,0.047207273839413894,1,36.776,0.047207273839413894,1,-0.7290931135203169,0.129524,1,0,0.025
27.635,10,8,80,20.0,5.541656049536443,1,5.497343616298108,0.008060699190598259,1,21.509,0.007604119338184903,1,24.161,0.007668702257040338,1,20.982,0.008617941168548707,1,29.259,0.009996657856294918,1,25.88,0.008060699190598259,1,26.26,0.008060699190598259,1,26.122,0.008060699190598259,1,5.541656589295645,0.09004,1,1,0.008
150.943,1,9,90,20.0,4.305484693364005,1,4.283428110039558,0.005149282947635088,1,244.775,0.006316044017731756,1,150.023,0.015412720065225507,1,194.327,0.007392373713669867,1,151.022,0.009662603552809013,1,144.934,0.005149282947635088,1,145.811,0.005149282947635088,1,146.256,0.005149282947635088,1,4.305484822782873,0.11326599999999999,1,1,0.005
85.015,2,9,90,20.0,5.187234660439908,1,5.143361456115107,0.008530064375047736,1,167.81,0.009236047027827937,1,181.726,0.003287367009712249,1,229.992,0.0017636457005970531,1,72.605,0.005799098152300177,1,86.676,0.008530064375047736,1,88.63,0.008530064375047736,1,86.58,0.008530064375047736,1,5.187203407893222,0.097425,1,1,0.009
112.545,3,9,90,20.0,1.0262206220213008,1,1.0112834361118122,0.014770523649550952,1,76.786,0.01877647182026691,1,86.848,0.0009989078952631733,1,73.134,0.08889680667553801,1,86.19,0.057127461419636816,1,115.725,0.014770523649550952,1,115.872,0.014770523649550952,1,115.936,0.014770523649550952,1,1.0108017496110613,0.090862,1,0,-0.0
