seed,dimension,p,k,time,lowerBound,upperBound,termination,LMOcalls,openNodes
1,30,150,6.0,1.228709e6,3.5469300545303124,3.6177972196873176,Time limit reached,32167,892
1,30,150,6.0,1.229715e6,3.5469300545303124,3.6177972196873176,Time limit reached,32185,893
1,30,150,6.0,1.233042e6,3.546944191507127,3.6177972196873176,Time limit reached,32221,892
1,30,150,6.0,1.233942e6,3.546944191507127,3.6177972196873176,Time limit reached,32238,893
1,30,150,6.0,1.236979e6,3.5469873293816976,3.6177972196873176,Time limit reached,32267,894
1,30,150,6.0,1.238982e6,3.5469873293816976,3.6177972196873176,Time limit reached,32291,895
1,30,150,6.0,1.240785e6,3.5470728227738615,3.6177972196873176,Time limit reached,32319,894
1,30,150,6.0,1.241294e6,3.5470728227738615,3.6177972196873176,Time limit reached,32326,895
1,30,150,6.0,1.241473e6,3.5471809116292388,3.6177972196873176,Time limit reached,32336,894
1,30,150,6.0,1.242237e6,3.5471809116292388,3.6177972196873176,Time limit reached,32362,895
1,30,150,6.0,1.243969e6,3.5472053299468262,3.6177972196873176,Time limit reached,32388,894
1,30,150,6.0,1.24475e6,3.5472053299468262,3.6177972196873176,Time limit reached,32406,895
1,30,150,6.0,1.246525e6,3.547221851874884,3.6177972196873176,Time limit reached,32435,894
1,30,150,6.0,1.248542e6,3.547221851874884,3.6177972196873176,Time limit reached,32460,895
1,30,150,6.0,1.251716e6,3.5473897914039036,3.6177972196873176,Time limit reached,32493,896
1,30,150,6.0,1.252746e6,3.5473897914039036,3.6177972196873176,Time limit reached,32504,897
1,30,150,6.0,1.254641e6,3.547447724036684,3.6177972196873176,Time limit reached,32531,896
1,30,150,6.0,1.257146e6,3.547447724036684,3.6177972196873176,Time limit reached,32564,897
1,30,150,6.0,1.259957e6,3.5478634459620655,3.6177972196873176,Time limit reached,32602,896
1,30,150,6.0,1.261718e6,3.5478634459620655,3.6177972196873176,Time limit reached,32629,897
1,30,150,6.0,1.264953e6,3.547919152113786,3.6177972196873176,Time limit reached,32664,896
1,30,150,6.0,1.266042e6,3.547919152113786,3.6177972196873176,Time limit reached,32680,897
1,30,150,6.0,1.274357e6,3.548037665570106,3.6177972196873176,Time limit reached,32708,896
1,30,150,6.0,1.276058e6,3.548037665570106,3.6177972196873176,Time limit reached,32728,897
1,30,150,6.0,1.276962e6,3.548078182776813,3.6177972196873176,Time limit reached,32745,898
1,30,150,6.0,1.277906e6,3.548078182776813,3.6177972196873176,Time limit reached,32759,899
1,30,150,6.0,1.281333e6,3.548191305241523,3.6177972196873176,Time limit reached,32787,898
1,30,150,6.0,1.28397e6,3.548191305241523,3.6177972196873176,Time limit reached,32819,899
