seed,dimension,p,k,Ns,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
5,90,90,45.0,1.0,258514.0,0.2594133703548846,0.9999999999999984,Time limit reached,19912,0,0
5,90,90,45.0,1.0,259106.0,0.2594133703548846,0.9999999999999984,Time limit reached,19956,0,0
5,90,90,45.0,1.0,259671.0,0.2594133703548846,0.9999999999999984,Time limit reached,19998,0,0
5,90,90,45.0,1.0,260254.0,0.2594133703548846,0.9999999999999984,Time limit reached,20042,0,0
5,90,90,45.0,1.0,260799.0,0.2594133703548846,0.9999999999999984,Time limit reached,20084,0,0
5,90,90,45.0,1.0,261310.0,0.2594133703548846,0.9999999999999984,Time limit reached,20125,0,0
5,90,90,45.0,1.0,261921.0,0.2594133703548846,0.9999999999999984,Time limit reached,20173,0,0
5,90,90,45.0,1.0,262526.0,0.2594133703548846,0.9999999999999984,Time limit reached,20219,0,0
5,90,90,45.0,1.0,263175.0,0.2594140584057595,0.9999999999999984,Time limit reached,20270,0,0
5,90,90,45.0,1.0,263661.0,0.2594140584057595,0.9999999999999984,Time limit reached,20308,0,0
5,90,90,45.0,1.0,264142.0,0.2594140584057595,0.9999999999999984,Time limit reached,20347,0,0
5,90,90,45.0,1.0,264624.0,0.2594140584057595,0.9999999999999984,Time limit reached,20385,0,0
5,90,90,45.0,1.0,265117.0,0.25941421223224226,0.9999999999999984,Time limit reached,20424,0,0
5,90,90,45.0,1.0,265699.0,0.25941421223224226,0.9999999999999984,Time limit reached,20468,0,0
5,90,90,45.0,1.0,266317.0,0.25941421223224226,0.9999999999999984,Time limit reached,20514,0,0
5,90,90,45.0,1.0,266938.0,0.25941421223224226,0.9999999999999984,Time limit reached,20560,0,0
5,90,90,45.0,1.0,267449.0,0.25941538154021143,0.9999999999999984,Time limit reached,20603,0,0
5,90,90,45.0,1.0,268039.0,0.25941538154021143,0.9999999999999984,Time limit reached,20650,0,0
5,90,90,45.0,1.0,268678.0,0.25941538154021143,0.9999999999999984,Time limit reached,20698,0,0
5,90,90,45.0,1.0,269242.0,0.25941538154021143,0.9999999999999984,Time limit reached,20740,0,0
5,90,90,45.0,1.0,269845.0,0.2594161877463444,0.9999999999999984,Time limit reached,20786,0,0
5,90,90,45.0,1.0,270457.0,0.2594161877463444,0.9999999999999984,Time limit reached,20832,0,0
5,90,90,45.0,1.0,271057.0,0.2594161877463444,0.9999999999999984,Time limit reached,20877,0,0
5,90,90,45.0,1.0,271540.0,0.2594161877463444,0.9999999999999984,Time limit reached,20917,0,0
5,90,90,45.0,1.0,272200.0,0.2594167200327102,0.9999999999999984,Time limit reached,20966,0,0
5,90,90,45.0,1.0,272834.0,0.2594167200327102,0.9999999999999984,Time limit reached,21014,0,0
5,90,90,45.0,1.0,273471.0,0.2594167200327102,0.9999999999999984,Time limit reached,21063,0,0
5,90,90,45.0,1.0,274107.0,0.2594167200327102,0.9999999999999984,Time limit reached,21111,0,0
5,90,90,45.0,1.0,274687.0,0.25941713424725626,0.9999999999999984,Time limit reached,21157,0,0
5,90,90,45.0,1.0,275264.0,0.25941713424725626,0.9999999999999984,Time limit reached,21201,0,0
5,90,90,45.0,1.0,275731.0,0.2594185302174851,0.9999999999999984,Time limit reached,21238,0,0
5,90,90,45.0,1.0,276236.0,0.2594185302174851,0.9999999999999984,Time limit reached,21277,0,0
5,90,90,45.0,1.0,276738.0,0.25941854599934183,0.9999999999999984,Time limit reached,21317,0,0
5,90,90,45.0,1.0,277258.0,0.25941854599934183,0.9999999999999984,Time limit reached,21358,0,0
5,90,90,45.0,1.0,277855.0,0.2594193330454648,0.9999999999999984,Time limit reached,21404,0,0
5,90,90,45.0,1.0,278454.0,0.2594193330454648,0.9999999999999984,Time limit reached,21450,0,0
5,90,90,45.0,1.0,278978.0,0.2594198000558624,0.9999999999999984,Time limit reached,21490,0,0
5,90,90,45.0,1.0,279668.0,0.2594198000558624,0.9999999999999984,Time limit reached,21542,0,0
5,90,90,45.0,1.0,280290.0,0.2594199926929076,0.9999999999999984,Time limit reached,21591,0,0
5,90,90,45.0,1.0,280920.0,0.2594199926929076,0.9999999999999984,Time limit reached,21636,0,0
5,90,90,45.0,1.0,281427.0,0.2594214212810287,0.9999999999999984,Time limit reached,21679,0,0
5,90,90,45.0,1.0,282094.0,0.2594214212810287,0.9999999999999984,Time limit reached,21730,0,0
5,90,90,45.0,1.0,282788.0,0.25942505653616554,0.9999999999999984,Time limit reached,21783,0,0
5,90,90,45.0,1.0,283429.0,0.25942505653616554,0.9999999999999984,Time limit reached,21831,0,0
5,90,90,45.0,1.0,284042.0,0.25942505653616554,0.9999999999999984,Time limit reached,21878,0,0
5,90,90,45.0,1.0,284712.0,0.25942505653616554,0.9999999999999984,Time limit reached,21930,0,0
5,90,90,45.0,1.0,285343.0,0.25942522724921707,0.9999999999999984,Time limit reached,21978,0,0
5,90,90,45.0,1.0,286006.0,0.25942522724921707,0.9999999999999984,Time limit reached,22027,0,0
5,90,90,45.0,1.0,286543.0,0.25942522724921707,0.9999999999999984,Time limit reached,22071,0,0
5,90,90,45.0,1.0,287061.0,0.25942522724921707,0.9999999999999984,Time limit reached,22112,0,0
5,90,90,45.0,1.0,287715.0,0.25942660885684327,0.9999999999999984,Time limit reached,22164,0,0
5,90,90,45.0,1.0,288303.0,0.25942660885684327,0.9999999999999984,Time limit reached,22209,0,0
5,90,90,45.0,1.0,288830.0,0.2594268915662234,0.9999999999999984,Time limit reached,22246,0,0
5,90,90,45.0,1.0,289258.0,0.2594268915662234,0.9999999999999984,Time limit reached,22282,0,0
5,90,90,45.0,1.0,289798.0,0.2594271890730174,0.9999999999999984,Time limit reached,22324,0,0
5,90,90,45.0,1.0,290508.0,0.2594271890730174,0.9999999999999984,Time limit reached,22376,0,0
5,90,90,45.0,1.0,291136.0,0.2594271890730174,0.9999999999999984,Time limit reached,22423,0,0
5,90,90,45.0,1.0,291673.0,0.2594271890730174,0.9999999999999984,Time limit reached,22466,0,0
5,90,90,45.0,1.0,292359.0,0.2594275353800312,0.9999999999999984,Time limit reached,22519,0,0
5,90,90,45.0,1.0,292942.0,0.2594275353800312,0.9999999999999984,Time limit reached,22563,0,0
5,90,90,45.0,1.0,293491.0,0.25942927066135546,0.9999999999999984,Time limit reached,22606,0,0
5,90,90,45.0,1.0,294194.0,0.25942927066135546,0.9999999999999984,Time limit reached,22659,0,0
5,90,90,45.0,1.0,294851.0,0.25943183051941193,0.9999999999999984,Time limit reached,22710,0,0
5,90,90,45.0,1.0,295460.0,0.25943183051941193,0.9999999999999984,Time limit reached,22755,0,0
5,90,90,45.0,1.0,296064.0,0.25943204753557736,0.9999999999999984,Time limit reached,22801,0,0
5,90,90,45.0,1.0,296689.0,0.25943204753557736,0.9999999999999984,Time limit reached,22847,0,0
5,90,90,45.0,1.0,297300.0,0.2594321926003264,0.9999999999999984,Time limit reached,22893,0,0
5,90,90,45.0,1.0,297771.0,0.2594321926003264,0.9999999999999984,Time limit reached,22929,0,0
5,90,90,45.0,1.0,298192.0,0.2594321926003264,0.9999999999999984,Time limit reached,22963,0,0
5,90,90,45.0,1.0,298680.0,0.2594321926003264,0.9999999999999984,Time limit reached,23001,0,0
5,90,90,45.0,1.0,299020.0,0.2594341284297236,0.9999999999999984,Time limit reached,23029,0,0
5,90,90,45.0,1.0,299538.0,0.2594341284297236,0.9999999999999984,Time limit reached,23073,0,0
5,90,90,45.0,1.0,300225.0,0.2594341284297236,0.9999999999999984,Time limit reached,23126,0,0
5,90,90,45.0,1.0,300760.0,0.2594341284297236,0.9999999999999984,Time limit reached,23170,0,0
5,90,90,45.0,1.0,301444.0,0.2594345650594817,0.9999999999999984,Time limit reached,23222,0,0
5,90,90,45.0,1.0,302164.0,0.2594345650594817,0.9999999999999984,Time limit reached,23275,0,0
5,90,90,45.0,1.0,302808.0,0.2594348356205513,0.9999999999999984,Time limit reached,23323,0,0
5,90,90,45.0,1.0,303543.0,0.2594348356205513,0.9999999999999984,Time limit reached,23379,0,0
5,90,90,45.0,1.0,304220.0,0.25943705064154254,0.9999999999999984,Time limit reached,23430,0,0
5,90,90,45.0,1.0,304937.0,0.25943705064154254,0.9999999999999984,Time limit reached,23483,0,0
5,90,90,45.0,1.0,305542.0,0.25943705064154254,0.9999999999999984,Time limit reached,23527,0,0
5,90,90,45.0,1.0,306021.0,0.25943705064154254,0.9999999999999984,Time limit reached,23568,0,0
5,90,90,45.0,1.0,306699.0,0.259440419561176,0.9999999999999984,Time limit reached,23619,0,0
5,90,90,45.0,1.0,307263.0,0.259440419561176,0.9999999999999984,Time limit reached,23661,0,0
5,90,90,45.0,1.0,307813.0,0.259440419561176,0.9999999999999984,Time limit reached,23704,0,0
5,90,90,45.0,1.0,308254.0,0.259440419561176,0.9999999999999984,Time limit reached,23742,0,0
5,90,90,45.0,1.0,308855.0,0.25944078271773313,0.9999999999999984,Time limit reached,23787,0,0
5,90,90,45.0,1.0,309561.0,0.25944078271773313,0.9999999999999984,Time limit reached,23837,0,0
5,90,90,45.0,1.0,310164.0,0.25944078271773313,0.9999999999999984,Time limit reached,23884,0,0
5,90,90,45.0,1.0,310717.0,0.25944078271773313,0.9999999999999984,Time limit reached,23926,0,0
5,90,90,45.0,1.0,311344.0,0.2594417689720286,0.9999999999999984,Time limit reached,23974,0,0
5,90,90,45.0,1.0,312040.0,0.2594417689720286,0.9999999999999984,Time limit reached,24026,0,0
