seed,dimension,var_A,p,k,M,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
1,25,5.0,125,1.0,5,34459.0,0.30994742639139516,0.6471784932253207,OPTIMAL,1556,3,0,0
1,25,5.0,125,1.0,5,34475.0,0.30994764160216665,0.6471784932253207,OPTIMAL,1560,2,0,0
1,25,5.0,125,1.0,5,35448.0,0.30994764160216665,0.6471784932253207,OPTIMAL,1594,3,0,0
1,25,5.0,125,1.0,5,35481.0,0.31930814159686105,0.6471784932253207,OPTIMAL,1598,2,0,0
1,25,5.0,125,1.0,5,36292.0,0.31930814159686105,0.6471784932253207,OPTIMAL,1626,3,0,0
1,25,5.0,125,1.0,5,36307.0,0.3216366935815496,0.6471784932253207,OPTIMAL,1630,2,0,0
1,25,5.0,125,1.0,5,37123.0,0.3216366935815496,0.6471784932253207,OPTIMAL,1663,3,0,0
1,25,5.0,125,1.0,5,37139.0,0.32167103704415023,0.6471784932253207,OPTIMAL,1667,2,0,0
1,25,5.0,125,1.0,5,38009.0,0.32167103704415023,0.6471784932253207,OPTIMAL,1701,3,0,0
1,25,5.0,125,1.0,5,38040.0,0.3293671683222918,0.6466302324561014,OPTIMAL,1710,2,0,0
1,25,5.0,125,1.0,5,38934.0,0.3293671683222918,0.6466302324561014,OPTIMAL,1742,3,0,0
1,25,5.0,125,1.0,5,38950.0,0.32939327919982864,0.6466302324561014,OPTIMAL,1746,2,0,0
1,25,5.0,125,1.0,5,39979.0,0.32939327919982864,0.6466302324561014,OPTIMAL,1780,3,0,0
1,25,5.0,125,1.0,5,39993.0,0.33382909843768943,0.6466302324561014,OPTIMAL,1784,2,0,0
1,25,5.0,125,1.0,5,40817.0,0.33382909843768943,0.6466302324561014,OPTIMAL,1818,3,0,0
1,25,5.0,125,1.0,5,40833.0,0.33957983368813405,0.6466302324561014,OPTIMAL,1822,2,0,0
1,25,5.0,125,1.0,5,41598.0,0.33957983368813405,0.6466302324561014,OPTIMAL,1850,3,0,0
1,25,5.0,125,1.0,5,41614.0,0.34353784826706135,0.6466302324561014,OPTIMAL,1854,2,0,0
1,25,5.0,125,1.0,5,42444.0,0.34353784826706135,0.6466302324561014,OPTIMAL,1887,3,0,0
1,25,5.0,125,1.0,5,42460.0,0.3435379249312409,0.6466302324561014,OPTIMAL,1891,2,0,0
1,25,5.0,125,1.0,5,43359.0,0.3435379249312409,0.6466302324561014,OPTIMAL,1926,3,0,0
1,25,5.0,125,1.0,5,43374.0,0.3479674618428919,0.6466302324561014,OPTIMAL,1930,2,0,0
1,25,5.0,125,1.0,5,44138.0,0.3479674618428919,0.6466302324561014,OPTIMAL,1958,3,0,0
1,25,5.0,125,1.0,5,44166.0,0.36837865878060694,0.6157106905737074,OPTIMAL,1966,2,0,0
1,25,5.0,125,1.0,5,44922.0,0.36837865878060694,0.6157106905737074,OPTIMAL,1997,3,0,0
