seed,dimension,time_boscia,solution_boscia,termination_boscia,time_scip,solution_scip,termination_scip,ncalls_scip
5,40,14.805,-0.20815205532595116,OPTIMAL,182.266924,-0.20815164035152744,OPTIMAL,8823.0
6,40,63.101,-4.760934488011124,OPTIMAL,1800.030763,-3.7324619520421773,TIME_LIMIT,22752.0
7,40,17.367,-0.1767563303071238,OPTIMAL,1497.445253,-0.176756072245211,OPTIMAL,18820.0
8,40,234.383,-5.563031454845824,OPTIMAL,1800.097642,-2.673081208732045,TIME_LIMIT,17238.0
9,40,20.237,-1.7448075629768054,OPTIMAL,664.101665,-1.7448071785705057,OPTIMAL,14093.0
10,40,47.044,-20.378210130858214,Optimal (tree empty),1800.356674,-20.42149915792381,TIME_LIMIT,22580.0
1,45,68.566,-0.790636347990245,OPTIMAL,1800.108753,7.522323610701946,TIME_LIMIT,16872.0
2,45,322.082,-10.592133325078636,OPTIMAL,1800.154516,-9.50780624383465,TIME_LIMIT,28170.0
3,45,228.429,-1.4002230063427374,OPTIMAL,1800.042582,-1.4002227206125184,TIME_LIMIT,15948.0
4,45,14.653,0.08275738927625365,OPTIMAL,1800.021936,10.202943041591851,TIME_LIMIT,28116.0
5,45,781.903,-3.210491175014866,OPTIMAL,1800.055145,5.281401146706017,TIME_LIMIT,18560.0
6,45,20.195,-0.25723064334094303,OPTIMAL,1800.03895,13.135254920741884,TIME_LIMIT,19515.0
7,45,16.505,-0.20748396614318498,OPTIMAL,1800.092708,-0.20748366833360488,TIME_LIMIT,18077.0
8,45,13.706,-0.27210731508769764,OPTIMAL,1379.701994,-0.27210717806018536,OPTIMAL,20363.0
9,45,69.983,-0.5752857690773272,Optimal (tree empty),1800.000366,3.797285850381319,TIME_LIMIT,19803.0
10,45,26.596,-0.32102062896884687,OPTIMAL,1800.694811,6.504247650610003,TIME_LIMIT,24457.0
1,50,381.134,-0.7056653870318785,OPTIMAL,1800.003058,3.5880521245440953,TIME_LIMIT,19926.0
2,50,40.411,-0.23052390148148338,OPTIMAL,1800.013982,25.87038466152737,TIME_LIMIT,16374.0
3,50,240.149,-19.334158975171935,OPTIMAL,1800.000707,-18.220188282267266,TIME_LIMIT,13421.0
4,50,67.731,-0.4605174958394688,OPTIMAL,1800.011388,5.270528602852764,TIME_LIMIT,23323.0
5,50,22.129,-0.16434010863385118,OPTIMAL,1800.00062,38.68046492675239,TIME_LIMIT,15839.0
6,50,16.485,-64.51125924503012,OPTIMAL,314.852484,-64.57137956709289,OPTIMAL,11820.0
7,50,49.974,-0.24910546271302692,OPTIMAL,1800.000756,13.78322902587713,TIME_LIMIT,21828.0
8,50,53.056,-0.5547321061464142,OPTIMAL,1800.002714,40.59004209258896,TIME_LIMIT,19276.0
9,50,42.529,-0.501265692523856,OPTIMAL,1800.00073,13.79661798388981,TIME_LIMIT,22600.0
10,50,96.66,-0.4209192908182101,OPTIMAL,1800.166657,23.489283083353378,TIME_LIMIT,19986.0
