seed,dimension,p,k,time,solution,dual_gap,rel_dual_gap,termination,ncalls
9,26,130,6.0,44.102,5.767390891505263,0.05598702610906514,0.009802673288134098,OPTIMAL,1580
10,26,130,6.0,1803.118,2.0399755865373486,0.041636122355572125,0.02083536010865907,Time limit reached,57506
1,27,135,6.0,192.406,3.10866462066773,0.030434842199213552,0.009887124870306309,OPTIMAL,6637
2,27,135,6.0,711.655,3.613939111182163,0.03577565986230802,0.009998330246515618,OPTIMAL,25231
3,27,135,6.0,803.267,6.377443938471518,0.06304140486036935,0.0099837481891286,OPTIMAL,30320
4,27,135,6.0,1003.479,4.816536694787371,0.04758853397528107,0.009978832306530537,OPTIMAL,36180
5,27,135,6.0,1015.505,5.009688064248175,0.04935450964892141,0.009949836861910139,OPTIMAL,36546
6,27,135,6.0,40.327,3.8093869889692282,0.036667393535386505,0.009719087943817876,OPTIMAL,1306
7,27,135,6.0,101.268,5.734069052956908,0.055183205672956426,0.00971725918726628,OPTIMAL,3659
8,27,135,6.0,1802.649,2.2478654478723645,0.42670601664158747,0.23430459152783276,Time limit reached,51418
9,27,135,6.0,26.042,5.795033269275499,0.05290904347114722,0.009214193457080036,OPTIMAL,847
10,27,135,6.0,591.021,2.082768560879226,0.020429070314339715,0.009905774683461101,OPTIMAL,17460
1,28,140,6.0,620.537,3.021453087549278,0.029861314387971127,0.00998174772904117,OPTIMAL,18507
2,28,140,6.0,1800.629,3.7959262974493706,0.05633809908305221,0.015065321659658714,Time limit reached,55034
3,28,140,6.0,671.494,6.449544719835144,0.06377126923537002,0.00998645970276011,OPTIMAL,24222
4,28,140,6.0,630.739,4.716504057817988,0.04659858172763265,0.009978484996369772,OPTIMAL,24332
5,28,140,6.0,1800.431,5.176891131084282,0.08012558790740254,0.015720869878872088,Time limit reached,70432
6,28,140,6.0,135.896,3.954622037877673,0.03898910039325454,0.009957291966775342,OPTIMAL,4555
7,28,140,6.0,676.835,5.962622957672978,0.0587302886561627,0.009947722959865927,OPTIMAL,26369
8,28,140,6.0,1805.052,2.6368973012863712,0.5133370673425395,0.24173416846725396,Time limit reached,52931
9,28,140,6.0,20.997,6.060032596950799,0.05862072771245064,0.009767822803984676,OPTIMAL,1049
10,28,140,6.0,1802.881,2.0790026229489516,0.08872146479719589,0.0445773525181667,Time limit reached,30594
1,29,145,6.0,681.266,3.255397068719602,0.03202574346629916,0.00993548066131738,OPTIMAL,6650
2,29,145,6.0,819.944,3.784462810142961,0.03741947323875294,0.009986399909019669,OPTIMAL,17094
3,29,145,6.0,1800.536,6.517959364236611,0.12265356488801782,0.019178686482906094,Time limit reached,48655
4,29,145,6.0,1800.227,5.022077072203834,0.1105816364535448,0.022514860880991968,Time limit reached,56866
5,29,145,6.0,1800.874,5.317290722644149,0.1145194535717966,0.0220112412499378,Time limit reached,59901
6,29,145,6.0,53.061,4.116280950667715,0.04051233383184538,0.00993980219203322,OPTIMAL,1424
7,29,145,6.0,1689.517,6.032713297894729,0.05969550239551058,0.009994194633153826,OPTIMAL,56995
8,29,145,6.0,1800.554,2.6026615490157057,0.5016801948528191,0.23878374449101583,Time limit reached,50000
9,29,145,6.0,15.318,5.734539698611755,0.05281305828192551,0.009295248016166378,OPTIMAL,754
10,29,145,6.0,1800.481,2.421290899981482,0.13354385610896857,0.05837352362301223,Time limit reached,43629
1,30,150,6.0,1800.403,3.6177972196873176,0.039900114750925475,0.01115183404684155,Time limit reached,51647
2,30,150,6.0,1800.062,4.115566751961235,0.12303849200956041,0.03081718750590626,Time limit reached,49717
3,30,150,6.0,907.901,6.401715731176486,0.06333570486127549,0.009992412035618417,OPTIMAL,30297
4,30,150,6.0,1800.507,4.973018804898767,0.05959514244605657,0.012129046168249114,Time limit reached,54863
5,30,150,6.0,1800.366,5.306261686907196,0.1767313244058073,0.03445370470906525,Time limit reached,57445
6,30,150,6.0,103.535,4.334812917701235,0.04223914752445079,0.00984005163007629,OPTIMAL,3045
7,30,150,6.0,300.884,5.955014138676084,0.05863304076092035,0.00994390284265238,OPTIMAL,9134
8,30,150,6.0,1802.989,2.905382194557009,0.5704120773096557,0.24429095391683314,Time limit reached,49147
9,30,150,6.0,104.934,5.908317519582886,0.058291321534183815,0.009964283844340236,OPTIMAL,3158
10,30,150,6.0,1802.406,2.4923899400961025,0.028669316485546936,0.011636593942836086,Time limit reached,45826
1,5,25,1.0,0.071,1.945465052951749,0.0,0.0,OPTIMAL,15
1,5,25,1.0,0.067,1.945465052951749,0.0,0.0,OPTIMAL,15
2,5,25,1.0,0.442,0.8220948692302436,0.0019547710927512174,0.0023834599688399944,OPTIMAL,112
3,5,25,1.0,0.207,1.238583573583379,0.0,0.0,OPTIMAL,57
1,1,5,1.0,0.056,0.5660230100021771,0.0,0.0,OPTIMAL,20
2,1,5,1.0,0.099,0.1789003827317397,0.0012970865491694905,0.007303279708480913,OPTIMAL,41
2,2,10,1.0,0.228,0.03167809390020018,3.3452901539166024e-8,1.0560274545476072e-6,OPTIMAL,81
1,2,10,1.0,0.094,0.9006881401833655,0.0,0.0,OPTIMAL,30
