seed,dimension,var_A,p,k,M,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
7,15,5,75,15.0,1.0,58028.0,0.25555965739602504,0.38381647866821245,Time limit reached,8253,0,0
7,15,5,75,15.0,1.0,58404.0,0.25555965739602504,0.38381647866821245,Time limit reached,8293,0,0
7,15,5,75,15.0,1.0,58494.0,0.2555629232439027,0.38381647866821245,Time limit reached,8317,0,0
7,15,5,75,15.0,1.0,58893.0,0.2555629232439027,0.38381647866821245,Time limit reached,8383,0,0
7,15,5,75,15.0,1.0,59521.0,0.2555629232439027,0.38381647866821245,Time limit reached,8475,0,0
7,15,5,75,15.0,1.0,59951.0,0.2555629232439027,0.38381647866821245,Time limit reached,8536,0,0
7,15,5,75,15.0,1.0,61046.0,0.2555629232439027,0.38381647866821245,Time limit reached,8623,0,0
7,15,5,75,15.0,1.0,61587.0,0.2555629232439027,0.38381647866821245,Time limit reached,8680,0,0
7,15,5,75,15.0,1.0,61701.0,0.25556654774053295,0.38381647866821245,Time limit reached,8704,0,0
7,15,5,75,15.0,1.0,61957.0,0.25556654774053295,0.38381647866821245,Time limit reached,8750,0,0
7,15,5,75,15.0,1.0,62238.0,0.2555761760492143,0.38381647866821245,Time limit reached,8804,0,0
7,15,5,75,15.0,1.0,62523.0,0.2555761760492143,0.38381647866821245,Time limit reached,8852,0,0
7,15,5,75,15.0,1.0,62913.0,0.25559370425711186,0.38381647866821245,Time limit reached,8923,0,0
7,15,5,75,15.0,1.0,63337.0,0.25559370425711186,0.38381647866821245,Time limit reached,8988,0,0
7,15,5,75,15.0,1.0,63999.0,0.25559370425711186,0.38381647866821245,Time limit reached,9085,0,0
7,15,5,75,15.0,1.0,64415.0,0.25559370425711186,0.38381647866821245,Time limit reached,9143,0,0
7,15,5,75,15.0,1.0,65411.0,0.25559896950475275,0.38381647866821245,Time limit reached,9234,0,0
7,15,5,75,15.0,1.0,65807.0,0.25559896950475275,0.38381647866821245,Time limit reached,9272,0,0
7,15,5,75,15.0,1.0,65921.0,0.2556231070818473,0.38381647866821245,Time limit reached,9299,0,0
7,15,5,75,15.0,1.0,66254.0,0.2556231070818473,0.38381647866821245,Time limit reached,9363,0,0
