seed,num_v,time,lowerBound,upperBound,termination,LMOcalls
1,4,101132.0,-310.43841779292956,-298.9399335199403,Time limit reached,3271
1,4,101530.0,-310.43841779292956,-298.9399335199403,Time limit reached,3284
1,4,101981.0,-310.43841779292956,-298.9399335199403,Time limit reached,3299
1,4,102415.0,-310.43841779292956,-298.9399335199403,Time limit reached,3313
1,4,102786.0,-310.43841779292956,-298.9399335199403,Time limit reached,3326
1,4,103197.0,-310.43841779292956,-298.9399335199403,Time limit reached,3340
1,4,103651.0,-310.43841779292956,-298.9399335199403,Time limit reached,3355
1,4,104238.0,-310.43841779292956,-298.9399335199403,Time limit reached,3374
1,4,104671.0,-310.43841779292956,-298.9399335199403,Time limit reached,3388
1,4,104949.0,-310.43841779292956,-298.9399335199403,Time limit reached,3398
1,4,105443.0,-310.43841779292956,-298.9399335199403,Time limit reached,3412
1,4,105808.0,-310.43841779292956,-298.9399335199403,Time limit reached,3425
1,4,106263.0,-310.43841779292956,-298.9399335199403,Time limit reached,3440
1,4,106859.0,-310.43841779292956,-298.9399335199403,Time limit reached,3458
1,4,107390.0,-310.43841779292956,-298.9399335199403,Time limit reached,3475
1,4,107789.0,-310.43841779292956,-298.9399335199403,Time limit reached,3488
1,4,108300.0,-310.43841779292956,-298.9399335199403,Time limit reached,3505
1,4,108751.0,-310.43841779292956,-298.9399335199403,Time limit reached,3519
1,4,109271.0,-310.43841779292956,-298.9399335199403,Time limit reached,3535
1,4,109755.0,-310.43841779292956,-298.9399335199403,Time limit reached,3550
1,4,110159.0,-310.43841779292956,-298.9399335199403,Time limit reached,3563
1,4,110601.0,-310.43841779292956,-298.9399335199403,Time limit reached,3578
1,4,111111.0,-310.43841779292956,-298.9399335199403,Time limit reached,3594
1,4,111688.0,-310.43841779292956,-298.9399335199403,Time limit reached,3613
1,4,112130.0,-310.43841779292956,-298.9399335199403,Time limit reached,3627
1,4,112603.0,-310.43841779292956,-298.9399335199403,Time limit reached,3643
1,4,113169.0,-310.43841779292956,-298.9399335199403,Time limit reached,3657
1,4,113616.0,-310.43841779292956,-298.9399335199403,Time limit reached,3672
1,4,114167.0,-310.43841779292956,-298.9399335199403,Time limit reached,3689
1,4,114685.0,-310.43841779292956,-298.9399335199403,Time limit reached,3705
1,4,115119.0,-310.43841779292956,-298.9399335199403,Time limit reached,3718
1,4,115545.0,-310.43841779292956,-298.9399335199403,Time limit reached,3733
1,4,116047.0,-310.43841779292956,-298.9399335199403,Time limit reached,3749
1,4,116655.0,-310.43841779292956,-298.9399335199403,Time limit reached,3765
1,4,117139.0,-310.43841779292956,-298.9399335199403,Time limit reached,3780
1,4,117575.0,-310.43841779292956,-298.9399335199403,Time limit reached,3794
1,4,118124.0,-310.43841779292956,-298.9399335199403,Time limit reached,3811
1,4,118642.0,-310.43841779292956,-298.9399335199403,Time limit reached,3827
1,4,119107.0,-310.43841779292956,-298.9399335199403,Time limit reached,3842
1,4,119626.0,-310.43841779292956,-298.9399335199403,Time limit reached,3859
1,4,120222.0,-310.43841779292956,-298.9399335199403,Time limit reached,3875
1,4,120892.0,-310.43841779292956,-298.9399335199403,Time limit reached,3895
1,4,121322.0,-310.43841779292956,-298.9399335199403,Time limit reached,3910
1,4,121857.0,-310.43841779292956,-298.9399335199403,Time limit reached,3925
1,4,122208.0,-310.43841779292956,-298.9399335199403,Time limit reached,3936
1,4,122723.0,-310.43841779292956,-298.9399335199403,Time limit reached,3952
1,4,123169.0,-310.43841779292956,-298.9399335199403,Time limit reached,3966
1,4,123708.0,-310.43841779292956,-298.9399335199403,Time limit reached,3983
1,4,124228.0,-310.43841779292956,-298.9399335199403,Time limit reached,4000
1,4,124833.0,-310.43841779292956,-298.9399335199403,Time limit reached,4019
1,4,125194.0,-310.43841779292956,-298.9399335199403,Time limit reached,4031
1,4,125646.0,-310.43841779292956,-298.9399335199403,Time limit reached,4045
1,4,126065.0,-310.43841779292956,-298.9399335199403,Time limit reached,4058
1,4,126615.0,-310.43841779292956,-298.9399335199403,Time limit reached,4074
1,4,127121.0,-310.43841779292956,-298.9399335199403,Time limit reached,4091
1,4,127551.0,-310.43841779292956,-298.9399335199403,Time limit reached,4105
1,4,128020.0,-310.43841779292956,-298.9399335199403,Time limit reached,4119
1,4,128632.0,-310.43841779292956,-298.9399335199403,Time limit reached,4135
1,4,129151.0,-310.43841779292956,-298.9399335199403,Time limit reached,4151
1,4,129609.0,-310.43841779292956,-298.9399335199403,Time limit reached,4166
1,4,130113.0,-310.43841779292956,-298.9399335199403,Time limit reached,4182
1,4,130623.0,-310.43841779292956,-298.9399335199403,Time limit reached,4197
1,4,131032.0,-310.43841779292956,-298.9399335199403,Time limit reached,4211
1,4,131525.0,-310.43841779292956,-298.9399335199403,Time limit reached,4227
1,4,132013.0,-310.43841779292956,-298.9399335199403,Time limit reached,4243
1,4,132266.0,-310.43841779292956,-298.9399335199403,Time limit reached,4252
1,4,132731.0,-310.43841779292956,-298.9399335199403,Time limit reached,4267
1,4,133223.0,-310.43841779292956,-298.9399335199403,Time limit reached,4283
1,4,133638.0,-310.43841779292956,-298.9399335199403,Time limit reached,4297
1,4,134116.0,-310.43841779292956,-298.9399335199403,Time limit reached,4311
1,4,134513.0,-310.43841779292956,-298.9399335199403,Time limit reached,4324
1,4,134921.0,-310.43841779292956,-298.9399335199403,Time limit reached,4338
1,4,135533.0,-310.43841779292956,-298.9399335199403,Time limit reached,4356
1,4,136106.0,-310.43841779292956,-298.9399335199403,Time limit reached,4372
1,4,136820.0,-310.43841779292956,-298.9399335199403,Time limit reached,4395
1,4,137418.0,-310.43841779292956,-298.9399335199403,Time limit reached,4413
1,4,137793.0,-310.43841779292956,-298.9399335199403,Time limit reached,4425
1,4,138443.0,-310.43841779292956,-298.9399335199403,Time limit reached,4444
1,4,138923.0,-310.43841779292956,-298.9399335199403,Time limit reached,4459
1,4,139434.0,-310.43841779292956,-298.9399335199403,Time limit reached,4475
1,4,139781.0,-310.43841779292956,-298.9399335199403,Time limit reached,4487
1,4,140274.0,-310.43841779292956,-298.9399335199403,Time limit reached,4504
1,4,140893.0,-310.43841779292956,-298.9399335199403,Time limit reached,4523
1,4,141426.0,-310.43841779292956,-298.9399335199403,Time limit reached,4541
1,4,141913.0,-310.43841779292956,-298.9399335199403,Time limit reached,4556
1,4,142344.0,-310.43841779292956,-298.9399335199403,Time limit reached,4571
1,4,142831.0,-310.43841779292956,-298.9399335199403,Time limit reached,4585
1,4,143646.0,-310.43841779292956,-298.9399335199403,Time limit reached,4603
1,4,144226.0,-310.43841779292956,-298.9399335199403,Time limit reached,4621
1,4,144740.0,-310.43841779292956,-298.9399335199403,Time limit reached,4637
1,4,145166.0,-310.43841779292956,-298.9399335199403,Time limit reached,4651
1,4,145853.0,-310.43841779292956,-299.1694512809974,Time limit reached,4671
1,4,146392.0,-310.43841779292956,-299.1694512809974,Time limit reached,4688
1,4,146830.0,-310.43841779292956,-299.1694512809974,Time limit reached,4702
1,4,147322.0,-310.43841779292956,-299.1694512809974,Time limit reached,4717
1,4,147949.0,-310.43841779292956,-299.1694512809974,Time limit reached,4737
1,4,148420.0,-310.43841779292956,-299.1694512809974,Time limit reached,4752
1,4,148880.0,-310.43841779292956,-299.1694512809974,Time limit reached,4767
1,4,149242.0,-310.43841779292956,-299.1694512809974,Time limit reached,4779
1,4,149752.0,-310.43841779292956,-299.1694512809974,Time limit reached,4794
1,4,150143.0,-310.43841779292956,-299.1694512809974,Time limit reached,4807
1,4,150570.0,-310.43841779292956,-299.1694512809974,Time limit reached,4820
1,4,151039.0,-310.43841779292956,-299.1694512809974,Time limit reached,4835
1,4,151571.0,-310.43841779292956,-299.1694512809974,Time limit reached,4851
1,4,152237.0,-310.43841779292956,-299.1694512809974,Time limit reached,4870
1,4,152843.0,-310.43841779292956,-299.1694512809974,Time limit reached,4889
1,4,153337.0,-310.43841779292956,-299.1694512809974,Time limit reached,4905
1,4,153815.0,-310.43841779292956,-299.1694512809974,Time limit reached,4918
1,4,154317.0,-310.43841779292956,-299.1694512809974,Time limit reached,4933
1,4,154971.0,-310.43841779292956,-299.1694512809974,Time limit reached,4951
1,4,155408.0,-310.43841779292956,-299.1694512809974,Time limit reached,4966
1,4,155896.0,-310.43841779292956,-299.1694512809974,Time limit reached,4981
1,4,156352.0,-310.43841779292956,-299.1694512809974,Time limit reached,4996
1,4,156742.0,-310.43841779292956,-299.1694512809974,Time limit reached,5009
1,4,157200.0,-310.43841779292956,-299.1694512809974,Time limit reached,5024
1,4,157763.0,-310.43841779292956,-299.1694512809974,Time limit reached,5038
1,4,158320.0,-310.43841779292956,-299.1694512809974,Time limit reached,5056
1,4,158688.0,-310.43841779292956,-299.1694512809974,Time limit reached,5068
1,4,159305.0,-310.43841779292956,-299.1694512809974,Time limit reached,5086
1,4,159879.0,-310.43841779292956,-299.1694512809974,Time limit reached,5104
1,4,160197.0,-310.43841779292956,-299.1694512809974,Time limit reached,5115
1,4,160841.0,-310.43841779292956,-299.1694512809974,Time limit reached,5134
1,4,161359.0,-310.43841779292956,-299.1694512809974,Time limit reached,5150
1,4,161937.0,-310.43841779292956,-299.1694512809974,Time limit reached,5168
1,4,162366.0,-310.43841779292956,-299.1694512809974,Time limit reached,5183
1,4,162862.0,-310.43841779292956,-299.1694512809974,Time limit reached,5199
1,4,163427.0,-310.43841779292956,-299.1694512809974,Time limit reached,5217
1,4,164122.0,-310.43841779292956,-299.1694512809974,Time limit reached,5239
1,4,164498.0,-310.43841779292956,-299.1694512809974,Time limit reached,5252
1,4,164984.0,-310.43841779292956,-299.1694512809974,Time limit reached,5269
1,4,165567.0,-310.43841779292956,-299.1694512809974,Time limit reached,5287
1,4,166008.0,-310.43841779292956,-299.1694512809974,Time limit reached,5301
1,4,166510.0,-310.43841779292956,-299.1694512809974,Time limit reached,5317
1,4,167059.0,-310.43841779292956,-299.1694512809974,Time limit reached,5335
1,4,167492.0,-310.43841779292956,-299.1694512809974,Time limit reached,5349
1,4,167765.0,-310.43841779292956,-299.1694512809974,Time limit reached,5358
1,4,168282.0,-310.43841779292956,-299.1694512809974,Time limit reached,5374
1,4,168918.0,-310.43841779292956,-299.1694512809974,Time limit reached,5393
1,4,169522.0,-310.43841779292956,-299.1694512809974,Time limit reached,5412
1,4,170106.0,-310.43841779292956,-299.1694512809974,Time limit reached,5431
1,4,170550.0,-310.43841779292956,-299.1694512809974,Time limit reached,5445
1,4,171150.0,-310.43841779292956,-299.1694512809974,Time limit reached,5465
1,4,171759.0,-310.43841779292956,-299.1694512809974,Time limit reached,5485
1,4,172277.0,-310.43841779292956,-299.1694512809974,Time limit reached,5502
1,4,172803.0,-310.43841779292956,-299.1694512809974,Time limit reached,5520
1,4,173110.0,-310.43841779292956,-299.1694512809974,Time limit reached,5531
1,4,173591.0,-310.43841779292956,-299.1694512809974,Time limit reached,5547
1,4,174042.0,-310.43841779292956,-299.1694512809974,Time limit reached,5562
1,4,174835.0,-310.43841779292956,-299.1694512809974,Time limit reached,5586
1,4,175250.0,-310.43841779292956,-299.1694512809974,Time limit reached,5601
1,4,175892.0,-310.43841779292956,-299.1694512809974,Time limit reached,5620
1,4,176420.0,-310.43841779292956,-299.1694512809974,Time limit reached,5635
1,4,177013.0,-310.43841779292956,-299.1694512809974,Time limit reached,5654
1,4,177515.0,-310.43841779292956,-299.1694512809974,Time limit reached,5670
1,4,178058.0,-310.43841779292956,-299.1694512809974,Time limit reached,5686
1,4,178490.0,-310.43841779292956,-299.1694512809974,Time limit reached,5701
1,4,178861.0,-310.43841779292956,-299.1694512809974,Time limit reached,5713
1,4,179399.0,-310.43841779292956,-299.1694512809974,Time limit reached,5731
1,4,179928.0,-310.43841779292956,-299.1694512809974,Time limit reached,5747
1,4,180364.0,-310.43841779292956,-299.1694512809974,Time limit reached,5762
1,4,180838.0,-310.43841779292956,-299.1694512809974,Time limit reached,5777
1,4,181728.0,-310.43841779292956,-299.1694512809974,Time limit reached,5798
1,4,182301.0,-310.43841779292956,-299.1694512809974,Time limit reached,5815
1,4,182759.0,-310.43841779292956,-299.1694512809974,Time limit reached,5829
1,4,186031.0,-310.43841779292956,-299.1694512809974,Time limit reached,5847
1,4,186513.0,-310.43841779292956,-299.1694512809974,Time limit reached,5863
1,4,187019.0,-310.43841779292956,-299.1694512809974,Time limit reached,5879
1,4,187435.0,-310.43841779292956,-299.1694512809974,Time limit reached,5893
1,4,187911.0,-310.43841779292956,-299.1694512809974,Time limit reached,5908
1,4,188377.0,-310.43841779292956,-299.1694512809974,Time limit reached,5922
1,4,188928.0,-310.43841779292956,-299.1694512809974,Time limit reached,5938
1,4,189449.0,-310.43841779292956,-299.1694512809974,Time limit reached,5955
1,4,190114.0,-310.43841779292956,-299.1694512809974,Time limit reached,5974
1,4,190587.0,-310.43841779292956,-299.1694512809974,Time limit reached,5991
1,4,191271.0,-310.43841779292956,-299.1694512809974,Time limit reached,6013
1,4,191869.0,-310.43841779292956,-299.1694512809974,Time limit reached,6031
1,4,192305.0,-310.43841779292956,-299.1694512809974,Time limit reached,6044
1,4,192996.0,-310.43841779292956,-299.1694512809974,Time limit reached,6065
1,4,193513.0,-310.43841779292956,-299.1694512809974,Time limit reached,6082
1,4,194051.0,-310.43841779292956,-299.1694512809974,Time limit reached,6100
1,4,194397.0,-310.43841779292956,-299.1694512809974,Time limit reached,6112
1,4,194827.0,-310.43841779292956,-299.1694512809974,Time limit reached,6126
1,4,195451.0,-310.43841779292956,-299.1694512809974,Time limit reached,6143
1,4,195950.0,-310.43841779292956,-299.1694512809974,Time limit reached,6159
1,4,196661.0,-310.43841779292956,-299.1694512809974,Time limit reached,6182
1,4,197196.0,-310.43841779292956,-299.1694512809974,Time limit reached,6200
1,4,197641.0,-310.43841779292956,-299.1694512809974,Time limit reached,6214
1,4,199757.0,-310.43841779292956,-299.1694512809974,Time limit reached,6236
1,4,200273.0,-310.43841779292956,-299.1694512809974,Time limit reached,6252
1,4,200850.0,-310.43841779292956,-299.1694512809974,Time limit reached,6271
1,4,201167.0,-310.43841779292956,-299.1694512809974,Time limit reached,6282
1,4,201642.0,-310.43841779292956,-299.1694512809974,Time limit reached,6297
1,4,202319.0,-310.43841779292956,-299.1694512809974,Time limit reached,6315
1,4,202743.0,-310.43841779292956,-299.1694512809974,Time limit reached,6329
1,4,202997.0,-310.43841779292956,-299.1694512809974,Time limit reached,6338
1,4,203388.0,-310.43841779292956,-299.1694512809974,Time limit reached,6351
1,4,204049.0,-310.43841779292956,-299.1694512809974,Time limit reached,6371
1,4,204684.0,-310.43841779292956,-299.1694512809974,Time limit reached,6389
1,4,205208.0,-310.43841779292956,-299.1694512809974,Time limit reached,6405
1,4,205601.0,-310.43841779292956,-299.1694512809974,Time limit reached,6418
1,4,205985.0,-310.43841779292956,-299.1694512809974,Time limit reached,6431
1,4,206349.0,-310.43841779292956,-299.1694512809974,Time limit reached,6444
1,4,206803.0,-310.43841779292956,-299.1694512809974,Time limit reached,6459
1,4,207437.0,-310.43841779292956,-299.1694512809974,Time limit reached,6477
1,4,207978.0,-310.43841779292956,-299.1694512809974,Time limit reached,6496
1,4,211517.0,-310.43841779292956,-299.1694512809974,Time limit reached,6516
1,4,212083.0,-310.43841779292956,-299.1694512809974,Time limit reached,6534
1,4,212542.0,-310.43841779292956,-299.1694512809974,Time limit reached,6549
1,4,213021.0,-310.43841779292956,-299.1694512809974,Time limit reached,6564
1,4,213461.0,-310.43841779292956,-299.1694512809974,Time limit reached,6578
1,4,214199.0,-310.43841779292956,-299.1694512809974,Time limit reached,6600
1,4,214640.0,-310.43841779292956,-299.1694512809974,Time limit reached,6614
1,4,214992.0,-310.43841779292956,-299.1694512809974,Time limit reached,6625
1,4,215748.0,-310.43841779292956,-299.1694512809974,Time limit reached,6648
1,4,216179.0,-310.43841779292956,-299.1694512809974,Time limit reached,6661
1,4,216672.0,-310.43841779292956,-299.1694512809974,Time limit reached,6678
1,4,217190.0,-310.43841779292956,-299.1694512809974,Time limit reached,6695
1,4,217788.0,-310.43841779292956,-299.1694512809974,Time limit reached,6714
1,4,218426.0,-310.43841779292956,-299.1694512809974,Time limit reached,6733
1,4,219190.0,-310.43841779292956,-299.1694512809974,Time limit reached,6756
1,4,219599.0,-310.43841779292956,-299.1694512809974,Time limit reached,6770
1,4,219981.0,-310.43841779292956,-299.1694512809974,Time limit reached,6783
1,4,220352.0,-310.43841779292956,-299.1694512809974,Time limit reached,6795
1,4,220854.0,-310.43841779292956,-299.1694512809974,Time limit reached,6810
1,4,221139.0,-310.43841779292956,-299.1694512809974,Time limit reached,6820
1,4,221698.0,-310.43841779292956,-299.1694512809974,Time limit reached,6837
1,4,222233.0,-310.43841779292956,-299.1694512809974,Time limit reached,6854
1,4,222693.0,-310.43841779292956,-299.1694512809974,Time limit reached,6869
1,4,223368.0,-310.43841779292956,-299.1694512809974,Time limit reached,6890
1,4,223865.0,-310.43841779292956,-299.1694512809974,Time limit reached,6906
1,4,224246.0,-310.43841779292956,-299.1694512809974,Time limit reached,6918
1,4,224711.0,-310.43841779292956,-299.1694512809974,Time limit reached,6933
1,4,225213.0,-310.43841779292956,-299.1694512809974,Time limit reached,6949
1,4,225890.0,-310.43841779292956,-299.1694512809974,Time limit reached,6969
1,4,226310.0,-310.43841779292956,-299.1694512809974,Time limit reached,6983
1,4,226715.0,-310.43841779292956,-299.1694512809974,Time limit reached,6997
1,4,227208.0,-310.43841779292956,-299.1694512809974,Time limit reached,7014
1,4,227679.0,-310.43841779292956,-299.1694512809974,Time limit reached,7030
1,4,228135.0,-310.43841779292956,-299.1694512809974,Time limit reached,7044
1,4,228624.0,-310.43841779292956,-299.1694512809974,Time limit reached,7059
1,4,229089.0,-310.43841779292956,-299.1694512809974,Time limit reached,7073
