seed,dimension,solution,dual_gap,rel_dual_gap,ncalls,termination,time
4,110,18.78344630640528,3.6286570768760775,0.23943962676865319,227632,Time limit reached,1800.003
4,115,32.55709720621315,0.31401645080701,0.00973903372289757,95142,OPTIMAL,809.272
4,120,25.9772969600925,13.935993289963527,1.1573492099974805,148751,Time limit reached,1800.027
5,20,-9.518173438085164,0.09325116626079932,0.009797170315017846,2810,OPTIMAL,55.476
5,25,2.3737311201025513,0.020863577082899987,0.008867297755369536,1692,OPTIMAL,14.28
5,30,3.9430969761913413,0.02769913225681897,0.007074410662949271,9385,OPTIMAL,45.97
5,35,6.94535893937668,0.060541415683463384,0.008793466998234575,15953,OPTIMAL,80.849
5,40,6.8235525136778294,0.04010289514182386,0.005911873367827681,11794,OPTIMAL,69.827
5,45,8.598800231104454,0.08182511609333432,0.009607297777484172,22684,OPTIMAL,92.621
5,50,3.1254173703878543,0.44690573170469605,0.16684853082229248,463787,Time limit reached,1800.01
5,55,3.41289553661129,0.032096971930871465,0.009493902495757106,23020,OPTIMAL,132.129
5,60,0.6163801580718378,2.038571335705784,Inf,288934,Time limit reached,1800.018
5,65,10.129436028300606,0.09157820340839784,0.009123281581185501,37893,OPTIMAL,266.466
5,70,10.332124649947328,0.09245631447032387,0.00902922940872937,26311,OPTIMAL,192.187
5,75,13.930499031020334,0.11151413805164445,0.00806963311092297,28205,OPTIMAL,223.63
5,80,18.396277358554315,0.16905060143100314,0.00927461997832101,57134,OPTIMAL,440.138
5,85,16.990652007565032,0.13831443711616487,0.008207433333088689,65047,OPTIMAL,510.94
5,90,6.245111060277893,4.569852900337417,2.727849957465534,188291,Time limit reached,1800.023
5,95,6.790135936528818,1.341206048970303,0.24614118306654392,202460,Time limit reached,1800.032
5,100,3.430397990151262,2.7297968008998272,3.8963633559008217,177707,Time limit reached,1800.01
5,105,17.718025070115004,0.1746844062298436,0.009957305713697398,208222,OPTIMAL,1439.278
5,110,17.628396010735134,3.254922811547491,0.226453465104833,179265,Time limit reached,1800.008
5,115,25.22438113864705,0.23651874394362693,0.009465345222717445,172314,OPTIMAL,1592.835
5,120,27.688188687127514,0.2628049797213947,0.009582545226174001,123145,OPTIMAL,1017.295
6,20,1.6345951570202115,0.0023542198114139268,0.0014423237144387177,469,OPTIMAL,8.931
6,25,0.5219133828725075,0.0016637542849364806,0.0031979922589342683,8253,OPTIMAL,36.672
6,30,4.1042310020910735,0.024767123369147548,0.006071171140484998,1554,OPTIMAL,14.787
6,35,-13.477765736857338,0.13447856423542426,0.00997780840393069,33072,OPTIMAL,814.189
6,40,1.8831084459233223,0.01737638397661545,0.009313440193810526,28785,OPTIMAL,103.679
6,45,5.1358384296536395,0.050356539710437964,0.009902019277665815,112180,OPTIMAL,433.018
6,50,10.018524490243069,0.09220239057029289,0.009288676072009831,43351,OPTIMAL,252.329
6,55,3.8232969275369757,0.032488411447477716,0.008570311929390709,58514,OPTIMAL,341.611
6,60,12.820710091652412,0.11105842286755063,0.008738116965102368,9708,OPTIMAL,78.329
6,65,5.112315201071447,0.0504426693876221,0.00996521920927203,70950,OPTIMAL,461.688
6,70,19.20500127073272,0.19006507714451004,0.009995567442850507,24505,OPTIMAL,192.894
6,75,-8.107176526849294,3.548813000627341,0.4377372305727407,242706,Time limit reached,1800.032
