seed,dimension,p,k,solution,dual_gap,rel_dual_gap,ncalls,termination,time
5,30,150,6.0,6.19206643854921,0.06115483911190012,0.009974836224602041,13143,OPTIMAL,86.575
6,15,75,3.0,3.4208886298393053,0.03199942280892287,0.00944245174570441,33,OPTIMAL,0.722
6,16,80,4.0,4.270684159307565,0.032016097671298205,0.007553339210747003,18,OPTIMAL,0.687
6,17,85,4.0,3.43243082356611,0.022049167396299918,0.0064653078802515244,22,OPTIMAL,0.713
6,18,90,4.0,3.555907125819637,0.020506495351470644,0.0058003314178159,93,OPTIMAL,1.04
6,19,95,4.0,3.882930310924795,0.03444687466866281,0.008950765993726946,174,OPTIMAL,1.424
6,20,100,4.0,4.988954673698697,0.042070033181089705,0.008504348946509453,57,OPTIMAL,0.936
6,21,105,5.0,4.15033550991732,0.028045941663944696,0.006803486557551034,45,OPTIMAL,0.814
6,22,110,5.0,4.080515745132351,0.02851702137746681,0.007037766623736943,22,OPTIMAL,0.724
6,23,115,5.0,4.385927740908787,0.04329164840240729,0.009968979090168533,233,OPTIMAL,1.992
6,24,120,5.0,5.446785231708145,0.053529710970367184,0.009925305924137729,472,OPTIMAL,3.582
6,25,125,5.0,4.505696077124414,0.03807357833000058,0.008522111780991954,49,OPTIMAL,0.981
6,26,130,6.0,4.700437511796861,0.0452724465297063,0.00972520756943517,748,OPTIMAL,5.651
6,27,135,6.0,4.891073030605399,0.046467645418240444,0.00959162650487895,248,OPTIMAL,2.21
6,28,140,6.0,5.7140512733941495,0.05424804062289734,0.00958479268480425,310,OPTIMAL,2.272
6,29,145,6.0,5.185528324382068,0.04529732448577306,0.008812313004354658,81,OPTIMAL,1.192
6,30,150,6.0,5.145675817110071,0.04200695586194847,0.00823073694708232,234,OPTIMAL,2.227
7,15,75,3.0,3.1573096230195286,0.02953343545476539,0.0094423109850963,1980,OPTIMAL,10.846
7,16,80,4.0,3.2775182354340826,0.032188193486777816,0.009918311256707758,7088,OPTIMAL,40.359
7,17,85,4.0,3.1153076201338905,0.03017975547523033,0.009782335384199524,3520,OPTIMAL,20.939
7,18,90,4.0,3.491754799253618,0.03448243183982935,0.00997388350563306,8685,OPTIMAL,48.342
7,19,95,4.0,3.1937334111517086,0.030953901684357188,0.00978693000624953,2963,OPTIMAL,17.205
7,20,100,4.0,3.5343833384124004,0.03495067578126676,0.009987526308046814,5365,OPTIMAL,31.246
7,21,105,5.0,3.345795262964071,0.03303573584837416,0.009972271026003874,101099,OPTIMAL,588.907
7,22,110,5.0,3.5792867003675135,0.03539313235498076,0.009987075423043742,75754,OPTIMAL,494.018
7,23,115,5.0,3.351295718306617,0.03316360567789056,0.009994661017766809,59714,OPTIMAL,403.791
7,24,120,5.0,3.6739884198705677,0.036302192898415075,0.009979473388674151,27319,OPTIMAL,197.372
7,25,125,5.0,3.8324391592107374,0.037370629635845365,0.009847155418832836,10469,OPTIMAL,70.833
7,26,130,6.0,4.277812685027019,0.04231467618910134,0.009990484259656424,189706,OPTIMAL,1242.46
7,27,135,6.0,4.27092345388909,0.2048113463833845,0.050370314681024105,269913,Time limit reached,1800.061
7,28,140,6.0,4.096105250978201,0.04052167715091759,0.009991577392813283,142060,OPTIMAL,963.134
7,29,145,6.0,4.048275096032361,0.03999939328814417,0.009979202094496412,205653,OPTIMAL,1342.017
7,30,150,6.0,4.631054012114318,0.18914125145686622,0.042581036965001366,265097,Time limit reached,1800.108
8,15,75,3.0,2.6567380141428654,0.002987119779398917,0.001125621770205908,13,OPTIMAL,0.66
8,16,80,4.0,2.1846094438653862,0.01798113608072205,0.008299132812082296,57,OPTIMAL,0.921
8,17,85,4.0,2.773474195176522,0.02524802899909817,0.009187027366898368,18,OPTIMAL,0.696
8,18,90,4.0,3.3101104022637635,0.010016400037065942,0.0030351862796355196,16,OPTIMAL,0.641
8,19,95,4.0,3.3212935734001694,0.02878702949200518,0.008743195832144142,51,OPTIMAL,0.947
8,20,100,4.0,2.405830473312482,0.02288522180810304,0.009603754762580194,315,OPTIMAL,2.268
8,21,105,5.0,3.18506704313954,0.02677262293926086,0.008476924370326155,29,OPTIMAL,0.776
8,22,110,5.0,3.4205385181369294,0.03296616895387938,0.009731502549850937,74,OPTIMAL,1.045
8,23,115,5.0,3.2451179078474204,0.030973716141504237,0.009636691540296097,277,OPTIMAL,2.205
8,24,120,5.0,3.2150222899024037,0.030483805807195008,0.009572440703556475,174,OPTIMAL,1.679
8,25,125,5.0,3.370075088994695,0.0327978724275364,0.009827733897777137,54,OPTIMAL,0.988
