seed,dimension,p,k,Ns,solution,dual_gap,rel_dual_gap,ncalls,termination,time
9,70,70,35.0,0.1,0.22895179621613856,0.021318739901819456,0.10267507631129177,27688,Time limit reached,1805.118
9,70,70,35.0,1.0,-1.970813696168218,0.308745997540923,0.15665914953869395,14545,Time limit reached,1801.878
9,70,70,35.0,5.0,-2.65053752259817,0.11491156272142788,0.04335405997527123,19024,Time limit reached,1805.664
9,70,70,35.0,10.0,0.29867033858620706,0.002926464592106437,0.009895266984177035,1620,OPTIMAL,19.52
10,70,70,35.0,0.1,0.9971627249381513,0.017931585771685854,0.018311903139589147,43376,Time limit reached,1802.078
10,70,70,35.0,1.0,0.9969404444481795,0.01784805087902175,0.01822917938720669,35621,Time limit reached,1802.091
10,70,70,35.0,5.0,0.9956592914339318,0.016605389100709633,0.016960648500697124,28541,Time limit reached,1801.986
10,70,70,35.0,10.0,0.9995257767164175,0.007639395341641264,0.007701885503310263,33,OPTIMAL,9.049
1,90,90,45.0,0.1,0.836027139905809,0.07601468627578922,0.10001768512176748,26227,Time limit reached,1801.788
1,90,90,45.0,1.0,0.02910851070751062,0.05727506364856169,Inf,12531,Time limit reached,1802.048
1,90,90,45.0,5.0,0.016460859681873594,0.044696570981905,Inf,20249,Time limit reached,1805.356
1,90,90,45.0,10.0,0.791877428349506,0.007679003658215278,0.00979216919651198,41,OPTIMAL,8.919
2,90,90,45.0,0.1,0.8229861560750843,0.08855221380651324,0.12057206061716993,22331,Time limit reached,1801.802
2,90,90,45.0,1.0,-0.08185655509841146,0.06301022797027898,0.7697639840147853,21794,Time limit reached,1801.925
2,90,90,45.0,5.0,-0.08321929814139101,0.06268732092205453,0.7532786543759081,20407,Time limit reached,1801.967
2,90,90,45.0,10.0,0.628870644697079,0.0059268398597528416,0.009514244806239884,27,OPTIMAL,8.526
3,90,90,45.0,0.1,0.4511744564812673,0.034700545796761406,0.08331985487333042,13466,Time limit reached,1809.555
3,90,90,45.0,1.0,-0.3039412986114327,0.3280878598605115,1.0794448183231211,12079,Time limit reached,1801.897
3,90,90,45.0,5.0,-0.32071058621916515,0.32203686029424683,1.0041354234380506,18814,Time limit reached,1801.953
3,90,90,45.0,10.0,0.9616811434785802,0.00402070191981585,0.004198462988897647,32,OPTIMAL,9.615
4,90,90,45.0,0.1,0.4381259172059552,0.019446274100564265,0.046446667328578974,9525,Time limit reached,1808.783
4,90,90,45.0,1.0,-1.3631633489115382,0.23934162360452427,0.175578094727704,16118,Time limit reached,1801.938
4,90,90,45.0,5.0,-1.6539443240052667,0.24450826805844672,0.1478334333929297,21404,Time limit reached,1801.964
4,90,90,45.0,10.0,0.4474887251404964,0.004208014026884088,0.009492887737688138,42,OPTIMAL,8.284
5,90,90,45.0,0.1,0.8692761132992008,0.08941040018814994,0.11464845637522998,22314,Time limit reached,1801.809
5,90,90,45.0,1.0,0.3370039597128762,0.0780446377295354,0.30137798142117517,13868,Time limit reached,1802.062
5,90,90,45.0,5.0,0.33720480256808666,0.07789710242169295,0.3004041236635691,19673,Time limit reached,1801.957
5,90,90,45.0,10.0,0.9588343944418658,0.005531234392152418,0.005802177758294614,109,OPTIMAL,9.636
6,90,90,45.0,0.1,0.8394008620905159,0.09959610218842985,0.13462484642787578,22565,Time limit reached,1801.902
6,90,90,45.0,1.0,0.061974031798993905,0.08398059735502478,Inf,12665,Time limit reached,1802.128
6,90,90,45.0,5.0,0.06192255217022826,0.08419071062594484,Inf,20118,Time limit reached,1802.068
6,90,90,45.0,10.0,0.8035914169866181,0.007743915414224922,0.009730401111927732,116,OPTIMAL,9.126
7,90,90,45.0,0.1,0.8450846270109141,0.058566685784131045,0.0744632547005613,32265,Time limit reached,1801.897
7,90,90,45.0,1.0,0.11566953655749482,0.05231294279746529,0.8256905823505387,12913,Time limit reached,1802.114
