seed,num_v,number_nodes,time,lowerBound,upperBound,termination
1,8,9707,135117.0,-731.9270943744662,Inf,Time limit reached
1,8,9707,135376.0,-731.9205574752192,Inf,Time limit reached
1,8,9707,135986.0,-731.9205574752192,Inf,Time limit reached
1,8,9707,136583.0,-731.9119718564573,Inf,Time limit reached
1,8,9707,136855.0,-731.9119718564573,Inf,Time limit reached
1,8,9707,137107.0,-731.8910337566904,Inf,Time limit reached
1,8,9707,137371.0,-731.8910337566904,Inf,Time limit reached
1,8,9707,137629.0,-731.8864247278639,Inf,Time limit reached
1,8,9707,137906.0,-731.8864247278639,Inf,Time limit reached
1,8,9707,138176.0,-731.860096606782,Inf,Time limit reached
1,8,9707,138820.0,-731.860096606782,Inf,Time limit reached
1,8,9707,139458.0,-731.8098950023607,Inf,Time limit reached
1,8,9707,139722.0,-731.8098950023607,Inf,Time limit reached
1,8,9707,139980.0,-731.7584958365476,Inf,Time limit reached
1,8,9707,140254.0,-731.7584958365476,Inf,Time limit reached
1,8,9707,140517.0,-731.7487422438926,Inf,Time limit reached
1,8,9707,140795.0,-731.7487422438926,Inf,Time limit reached
1,8,9707,141066.0,-731.7291623294122,Inf,Time limit reached
1,8,9707,141328.0,-731.7291623294122,Inf,Time limit reached
1,8,9707,141599.0,-731.6575050036128,Inf,Time limit reached
1,8,9707,141869.0,-731.6575050036128,Inf,Time limit reached
1,8,9707,142132.0,-731.6196920565619,Inf,Time limit reached
1,8,9707,142401.0,-731.6196920565619,Inf,Time limit reached
1,8,9707,142645.0,-731.6154344281543,Inf,Time limit reached
1,8,9707,142896.0,-731.6154344281543,Inf,Time limit reached
1,8,9707,143152.0,-731.5899381988213,Inf,Time limit reached
1,8,9707,143408.0,-731.5899381988213,Inf,Time limit reached
1,8,9707,143656.0,-731.5839545579443,Inf,Time limit reached
1,8,9707,143927.0,-731.5839545579443,Inf,Time limit reached
1,8,9707,144203.0,-731.5831433053884,Inf,Time limit reached
1,8,9707,144472.0,-731.5831433053884,Inf,Time limit reached
1,8,9707,144740.0,-731.508975443198,Inf,Time limit reached
1,8,9707,145015.0,-731.508975443198,Inf,Time limit reached
1,8,9707,145298.0,-731.4929422256922,Inf,Time limit reached
1,8,9707,145560.0,-731.4929422256922,Inf,Time limit reached
1,8,9707,145770.0,-731.4546537989709,Inf,Time limit reached
1,8,9707,146045.0,-731.4546537989709,Inf,Time limit reached
1,8,9707,146313.0,-731.4481745493434,Inf,Time limit reached
1,8,9707,146583.0,-731.4481745493434,Inf,Time limit reached
1,8,9707,146852.0,-731.4038888313845,Inf,Time limit reached
1,8,9707,147122.0,-731.4038888313845,Inf,Time limit reached
1,8,9707,147385.0,-731.3984681911849,Inf,Time limit reached
1,8,9707,147647.0,-731.3984681911849,Inf,Time limit reached
1,8,9707,147921.0,-731.3481660454092,Inf,Time limit reached
1,8,9707,148176.0,-731.3481660454092,Inf,Time limit reached
1,8,9707,148439.0,-731.3369380099775,Inf,Time limit reached
1,8,9707,149032.0,-731.3369380099775,Inf,Time limit reached
1,8,9707,149627.0,-731.2734459288349,Inf,Time limit reached
1,8,9707,150286.0,-731.2734459288349,Inf,Time limit reached
1,8,9707,150890.0,-731.2162534850896,Inf,Time limit reached
1,8,9707,151138.0,-731.2162534850896,Inf,Time limit reached
1,8,9707,151399.0,-731.189769985237,Inf,Time limit reached
1,8,9707,151660.0,-731.189769985237,Inf,Time limit reached
1,8,9707,151940.0,-731.1854092603019,Inf,Time limit reached
1,8,9707,152202.0,-731.1854092603019,Inf,Time limit reached
1,8,9707,152463.0,-731.1824271339332,Inf,Time limit reached
1,8,9707,153088.0,-731.1824271339332,Inf,Time limit reached
1,8,9707,153671.0,-731.1710231814956,Inf,Time limit reached
1,8,9707,153924.0,-731.1710231814956,Inf,Time limit reached
1,8,9707,154170.0,-731.1675644245413,Inf,Time limit reached
1,8,9707,154437.0,-731.1675644245413,Inf,Time limit reached
1,8,9707,154710.0,-731.1019093959826,Inf,Time limit reached
1,8,9707,155327.0,-731.1019093959826,Inf,Time limit reached
1,8,9707,155960.0,-731.0642272559265,Inf,Time limit reached
1,8,9707,156226.0,-731.0642272559265,Inf,Time limit reached
1,8,9707,156506.0,-731.0357388067671,Inf,Time limit reached
1,8,9707,156778.0,-731.0357388067671,Inf,Time limit reached
1,8,9707,157045.0,-730.9861116754465,Inf,Time limit reached
1,8,9707,157298.0,-730.9861116754465,Inf,Time limit reached
1,8,9707,157539.0,-730.9430236419253,Inf,Time limit reached
1,8,9707,157798.0,-730.9430236419253,Inf,Time limit reached
1,8,9707,158051.0,-730.9249475453984,Inf,Time limit reached
1,8,9707,158312.0,-730.9249475453984,Inf,Time limit reached
1,8,9707,158578.0,-730.9072724387661,Inf,Time limit reached
